id_rssd,name,state,city,filing_type,reporting_period,has_filed
43959,BRIDGE CITY STATE BANK,TX,BRIDGE CITY              ,051,12/31/2025,True
190563,FIRST STATE BANK OF TEXAS,TX,ORANGE                   ,051,12/31/2025,True
328357,"TITAN BANK, N.A.",TX,MINERAL WELLS            ,041,12/31/2025,True
1012251,FIRST STATE BANK AND TRUST COMPANY,TX,CARTHAGE                 ,051,12/31/2025,True
614368,FIRST NATIONAL BANK AND TRUST COMPANY OF WEATHERFORD DBA FIRST BANK TEXAS,TX,WEATHERFORD              ,051,12/31/2025,True
389358,SECURITY STATE BANK,TX,FARWELL                  ,051,12/31/2025,True
397456,FIRST NATIONAL BANK OF FORT STOCKTON,TX,FORT STOCKTON            ,041,12/31/2025,True
396954,"PECOS COUNTY STATE BANK, THE",TX,FORT STOCKTON            ,051,12/31/2025,True
884358,FIRST STATE BANK OF LIVINGSTON,TX,LIVINGSTON               ,051,12/31/2025,True
899651,CITIZENS STATE BANK,TX,CORRIGAN                 ,051,12/31/2025,True
630658,"FIRST NATIONAL BANK OF LIVINGSTON, THE",TX,LIVINGSTON               ,051,12/31/2025,True
353555,AMARILLO NATIONAL BANK,TX,AMARILLO                 ,041,12/31/2025,True
610164,HERRING BANK,TX,AMARILLO                 ,051,12/31/2025,True
840363,FIRSTBANK SOUTHWEST,TX,AMARILLO                 ,051,12/31/2025,True
362856,"BIG BEND BANKS, N.A. DBA MARFA NATIONAL BANK, THE",TX,MARFA                    ,051,12/31/2025,True
885252,CITIZENS BANK,TX,AMARILLO                 ,051,12/31/2025,True
908861,"TRANSPECOS BANKS, SSB",TX,PECOS                    ,041,12/31/2025,True
32766,LAKESIDE BANK,TX,ROCKWALL                 ,051,12/31/2025,True
296755,CITIZENS STATE BANK,TX,MILES                    ,051,12/31/2025,True
160454,"FIRST NATIONAL BANK OF BALLINGER, THE",TX,BALLINGER                ,051,12/31/2025,True
56351,"VERABANK, NATIONAL ASSOCIATION",TX,HENDERSON                ,041,12/31/2025,True
849076,HENDERSON FEDERAL SAVINGS BANK,TX,HENDERSON                ,051,12/31/2025,True
414764,TEXAS BANK,TX,HENDERSON                ,051,12/31/2025,True
678052,"BANK OF SAN JACINTO COUNTY, COLDSPRING, TEXAS, THE",TX,COLDSPRING               ,051,12/31/2025,True
