id_rssd,name,city,filing_type,total_assets,total_loans_gross,ci_loans,cre_proxy_total,loan_to_asset_ratio,cre_to_loans,ci_to_loans
859552,BANK OF THE WEST,GRAPEVINE,41,829874000.0,509098000.0,42636000.0,330638000.0,0.6134642126395091,0.649458453971534,0.08374811922262511
329952,"FIRST NATIONAL BANK OF GRANBURY, THE",GRANBURY,41,992503000.0,502760000.0,34816000.0,241617000.0,0.5065576627979966,0.4805811918211473,0.06924974142732118
2568063,FIRST COMMAND BANK,FORT WORTH,51,1076009000.0,500482000.0,115775000.0,90984000.0,0.4651280797837193,0.18179275178727705,0.2313270007712565
556459,"KLEBERG BANK, N.A.",KINGSVILLE,51,734960000.0,498488000.0,87030000.0,229308000.0,0.6782518776532056,0.4600070613535331,0.1745879539728138
514655,"TEXAS GULF BANK, NATIONAL ASSOCIATION",HOUSTON,51,716112000.0,497981000.0,43049000.0,302042000.0,0.6953954130080211,0.6065331809848167,0.08644707328191237
561864,SOUTHWEST BANK,ODESSA,51,715606000.0,491660000.0,198058000.0,242968000.0,0.6870540492952826,0.49417890412073384,0.4028352926819347
264455,FIRST STATE BANK,ATHENS,51,762558000.0,490122000.0,32517000.0,202384000.0,0.6427340608845491,0.41292576134105385,0.06634470601197252
3150205,WORTHINGTON BANK,ARLINGTON,51,611422000.0,488891000.0,60720000.0,285211000.0,0.7995966779082205,0.5833836172071075,0.12419946368413409
262358,AMERICAN STATE BANK,ARP,51,672666000.0,485466000.0,21410000.0,348453000.0,0.7217043822640062,0.7177701425022556,0.044101955646739424
911160,PILGRIM BANK,PITTSBURG,51,723028000.0,484921000.0,18812000.0,290959000.0,0.6706808035096843,0.6000131980260702,0.038793947880170175
898579,"FIRST FEDERAL COMMUNITY BANK, SSB",PARIS,51,607976000.0,480154000.0,44130000.0,171488000.0,0.7897581483479611,0.35715208037421325,0.09190801284587861
869663,CITIZENS 1ST BANK,TYLER,51,819767000.0,479602000.0,8720000.0,365349000.0,0.5850467266918526,0.7617753887598467,0.01818174236137464
307361,AMERICAN BANK NATIONAL ASSOCIATION,WACO,51,625207000.0,474570000.0,42032000.0,244234000.0,0.7590605991295682,0.5146427292074931,0.0885685989422003
334264,FIRST COMMUNITY BANK,SAN BENITO,51,778915000.0,473132000.0,88024000.0,316660000.0,0.6074244301367928,0.669284681653323,0.1860453319581005
629353,FIRST LIBERTY BANK,LIBERTY,51,866367000.0,471847000.0,46461000.0,265473000.0,0.5446271614685232,0.5626251729903973,0.0984662401159698
448554,SAGE CAPITAL BANK,GONZALES,51,741121000.0,467081000.0,18313000.0,380113000.0,0.6302358184426025,0.813805314281677,0.03920733234706614
591366,"FIRST NATIONAL BANK OF SONORA, THE",SONORA,41,683680000.0,464616000.0,46454000.0,248509000.0,0.6795810905686871,0.5348696558017804,0.09998364240577165
339456,FIRST COMMUNITY BANK,CORPUS CHRISTI,41,661715000.0,456392000.0,43050000.0,279867000.0,0.6897108271687963,0.6132162702238426,0.09432680678013637
328357,"TITAN BANK, N.A.",MINERAL WELLS,41,819886000.0,448858000.0,2077000.0,217057000.0,0.5474639157151117,0.4835760975631491,0.004627298611142054
406059,NBT FINANCIAL BANK,FORT WORTH,51,588397000.0,444416000.0,84949000.0,237847000.0,0.7552995681487159,0.5351900021601382,0.19114748343894009
59352,CITIZENS NATIONAL BANK,CAMERON,51,660205000.0,424498000.0,14553000.0,322003000.0,0.642979074681349,0.7585500991759678,0.03428284703343714
445955,"FIRST NATIONAL BANK OF EAST TEXAS, THE",GILMER,51,614871000.0,418725000.0,71786000.0,195523000.0,0.6809965017052357,0.4669484745357932,0.17143948892471192
735067,"TEXAS REPUBLIC BANK, NATIONAL ASSOCIATION",FRISCO,51,503380000.0,408839000.0,49340000.0,282016000.0,0.8121876117446064,0.6897972062352172,0.12068320292340017
925653,BANK OF TEXAS,MIDLAND,51,525992000.0,406972000.0,149666000.0,240408000.0,0.7737227942630306,0.5907236861503986,0.36775502983006203
549862,"COMMUNITY BANK & TRUST, WACO, TEXAS",WACO,41,637595000.0,390961000.0,66794000.0,143976000.0,0.6131807809032379,0.36826179593360975,0.17084568537526762
623454,"BANK AND TRUST, SSB, THE",DEL RIO,51,584833000.0,372663000.0,32426000.0,118330000.0,0.6372126743873893,0.3175254854922544,0.08701158955946793
5382514,GULF CAPITAL BANK,HOUSTON,51,588671000.0,351359000.0,105482000.0,219511000.0,0.5968681997244641,0.6247484766293164,0.30021146462734694
371362,WELLINGTON STATE BANK,WELLINGTON,51,653212000.0,348294000.0,25114000.0,210836000.0,0.5332020844687483,0.6053391674849409,0.07210574974016205
77253,TXN BANK,HONDO,51,650179000.0,344243000.0,36971000.0,186391000.0,0.5294588105737036,0.5414518232759998,0.10739797178156128
521158,"SOUTHTRUST BANK, N.A.",GEORGE WEST,51,593611000.0,343625000.0,20583000.0,189486000.0,0.5788723591712418,0.551432520916697,0.059899599854492544
3185896,"TRINITY BANK, NATIONAL ASSOCIATION",FORT WORTH,51,553357000.0,343314000.0,172735000.0,155913000.0,0.6204204518963345,0.45414110697495585,0.5031399826397991
583352,FIRST NATIONAL BANK OF HUNTSVILLE,HUNTSVILLE,51,588832000.0,333778000.0,35271000.0,144758000.0,0.5668475898049019,0.4336954502693407,0.10567203350730126
744854,CITIZENS BANK,KILGORE,51,511745000.0,320606000.0,35627000.0,241761000.0,0.6264956179347135,0.7540750952882977,0.11112393404989301
400365,"FIRST COMMERCIAL BANK, NATIONAL ASSOCIATION",SEGUIN,51,558878000.0,310975000.0,18923000.0,181976000.0,0.5564273419243556,0.5851788728997508,0.06085055068735429
227357,"BRENHAM NATIONAL BANK, THE",BRENHAM,51,516582000.0,259531000.0,8281000.0,192633000.0,0.502400393354782,0.7422350316532514,0.031907556322751426
979759,"KARNES COUNTY NATIONAL BANK OF KARNES CITY, THE",KARNES CITY,51,549490000.0,228158000.0,21600000.0,169304000.0,0.41521774736573913,0.7420471778329053,0.09467123659919881
884358,FIRST STATE BANK OF LIVINGSTON,LIVINGSTON,51,706722000.0,220119000.0,15990000.0,52524000.0,0.3114647626648102,0.2386163847736906,0.07264252517956196
1012251,FIRST STATE BANK AND TRUST COMPANY,CARTHAGE,51,541904000.0,181209000.0,7786000.0,35820000.0,0.334393176651215,0.1976723010446501,0.042966960802167664
625159,COMMERCE BANK,LAREDO,41,736936000.0,158977000.0,36732000.0,64834000.0,0.21572701021526972,0.40781999911936945,0.23105229058291452
382069,INTERNATIONAL BANK OF COMMERCE,ZAPATA,41,512448000.0,142722000.0,25244000.0,60634000.0,0.2785102098164106,0.42483989854402265,0.1768753240565575
441050,"FALLS CITY NATIONAL BANK, THE",FALLS CITY,51,591271000.0,139761000.0,6768000.0,62910000.0,0.2363738454955511,0.45012557151136584,0.04842552643441304
169354,"STATE NATIONAL BANK OF BIG SPRING, THE",BIG SPRING,51,624190000.0,99666000.0,26038000.0,44925000.0,0.15967253560614555,0.4507555234483174,0.2612525836293219
339072,"COLONIAL SAVINGS, FA",FORT WORTH,41,675249000.0,87749000.0,9965000.0,49719000.0,0.12995058119301175,0.5666047476324516,0.11356254772134156
